,Close price,Mean_10days,Std_10days,Var_10days,label_10days
162,0.524172,0.540905,0.021975,0.000483,medium
163,0.52014,0.540905,0.021975,0.000483,medium
164,0.556429,0.540905,0.021975,0.000483,medium
165,0.536268,0.540905,0.021975,0.000483,medium
166,0.532236,0.540905,0.021975,0.000483,medium
167,0.532236,0.540905,0.021975,0.000483,medium
168,0.540301,0.540905,0.021975,0.000483,medium
169,0.600782,0.540905,0.021975,0.000483,medium
170,0.588686,0.601992,0.019341,0.000374,medium
171,0.564493,0.601992,0.019341,0.000374,medium
172,0.580621,0.601992,0.019341,0.000374,medium
173,0.608846,0.601992,0.019341,0.000374,medium
174,0.620942,0.601992,0.019341,0.000374,medium
175,0.629007,0.601992,0.019341,0.000374,medium
176,0.61691,0.601992,0.019341,0.000374,medium
177,0.612878,0.601992,0.019341,0.000374,medium
178,0.608846,0.601992,0.019341,0.000374,medium
179,0.588686,0.601992,0.019341,0.000374,medium
180,0.604814,0.590702,0.013554,0.000184,medium
181,0.594734,0.590702,0.013554,0.000184,medium
182,0.598766,0.590702,0.013554,0.000184,medium
183,0.612878,0.590702,0.013554,0.000184,medium
184,0.592718,0.590702,0.013554,0.000184,medium
185,0.580621,0.590702,0.013554,0.000184,medium
186,0.59675,0.590702,0.013554,0.000184,medium
187,0.584654,0.590702,0.013554,0.000184,medium
188,0.576589,0.590702,0.013554,0.000184,medium
189,0.564493,0.590702,0.013554,0.000184,medium
190,0.568525,0.550784,0.010584,0.000112,medium
191,0.570541,0.550784,0.010584,0.000112,medium
192,0.548365,0.550784,0.010584,0.000112,medium
193,0.548365,0.550784,0.010584,0.000112,medium
194,0.548365,0.550784,0.010584,0.000112,medium
195,0.548365,0.550784,0.010584,0.000112,medium
196,0.544333,0.550784,0.010584,0.000112,medium
197,0.532236,0.550784,0.010584,0.000112,medium
198,0.548365,0.550784,0.010584,0.000112,medium
199,0.550381,0.550784,0.010584,0.000112,medium
200,0.566509,0.556227,0.011942,0.000143,medium
201,0.566509,0.556227,0.011942,0.000143,medium
202,0.570541,0.556227,0.011942,0.000143,medium
203,0.572557,0.556227,0.011942,0.000143,medium
204,0.556429,0.556227,0.011942,0.000143,medium
205,0.548365,0.556227,0.011942,0.000143,medium
206,0.556429,0.556227,0.011942,0.000143,medium
207,0.544333,0.556227,0.011942,0.000143,medium
208,0.536268,0.556227,0.011942,0.000143,medium
209,0.544333,0.556227,0.011942,0.000143,medium
210,0.556429,0.541308,0.006517,4.2e-05,medium
211,0.548365,0.541308,0.006517,4.2e-05,medium
212,0.536268,0.541308,0.006517,4.2e-05,medium
213,0.536268,0.541308,0.006517,4.2e-05,medium
214,0.546349,0.541308,0.006517,4.2e-05,medium
215,0.538284,0.541308,0.006517,4.2e-05,medium
216,0.536268,0.541308,0.006517,4.2e-05,medium
217,0.538284,0.541308,0.006517,4.2e-05,medium
